filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000385719.txt,4.0,4.0,4.0,4.0
INQ000383581.txt,4.0,4.333333333333333,3.6666666666666665,4.0
INQ000383585.txt,4.333333333333333,4.0,4.0,4.0
INQ000350057.txt,4.333333333333333,4.0,4.0,3.0
INQ000395913.txt,2.0,2.6666666666666665,3.6666666666666665,3.6666666666666665
INQ000383998.txt,4.0,4.0,4.0,4.0
INQ000396686.txt,4.333333333333333,4.0,4.0,4.333333333333333
INQ000350094.txt,2.0,2.0,3.0,2.0
INQ000396685.txt,4.222222222222222,3.5555555555555554,4.333333333333333,4.111111111111111
INQ000412042.txt,4.0,4.0,4.0,4.333333333333333
INQ000350691.txt,4.0,4.0,4.0,4.0
INQ000395589.txt,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333
INQ000396684.txt,4.5,4.166666666666667,3.8333333333333335,3.5
INQ000350513.txt,4.0,4.0,4.0,4.0
INQ000400585.txt,4.0,3.8333333333333335,4.0,2.6666666666666665
Average,3.692592592592592,3.6148148148148147,3.7222222222222223,3.52962962962963
