filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000350057.txt,3.0,4.0,4.0,1.6666666666666667
INQ000383998.txt,4.0,4.0,4.0,4.0
INQ000412042.txt,3.3333333333333335,4.0,4.0,4.0
INQ000383585.txt,4.0,4.0,4.0,4.0
INQ000395589.txt,3.0,4.0,4.0,2.6666666666666665
INQ000385719.txt,4.333333333333333,4.0,4.0,4.0
INQ000396684.txt,4.166666666666667,3.8333333333333335,3.6666666666666665,3.5
INQ000350513.txt,4.0,4.333333333333333,4.0,4.0
INQ000383581.txt,4.0,4.0,4.0,4.0
INQ000350691.txt,4.666666666666667,4.0,3.0,4.0
INQ000350094.txt,4.0,3.6666666666666665,3.0,3.6666666666666665
INQ000396686.txt,4.666666666666667,4.0,4.0,4.0
INQ000395913.txt,2.0,1.6666666666666667,2.0,2.0
INQ000400585.txt,3.5,3.3333333333333335,4.0,3.3333333333333335
INQ000396685.txt,3.0,3.388888888888889,3.0,3.444444444444444
Average,3.711111111111111,3.7481481481481476,3.6444444444444444,3.4851851851851854
